"","Edad","EstadoCivil","MiembrosHogar","Educacion","Sexo","Ingresos","Ahorro"
"84",60,"2",4,"3","0","2","Case"
"87",56,"1",1,"3","0","2","Case"
"88",42,"2",4,"3","0","2","Case"
"91",49,"2",2,"3","0","2","Case"
"95",51,"2",2,"3","0","2","Case"
"97",65,"2",5,"3","0","2","Case"
"112",65,"2",6,"3","0","1","Case"
"114",50,"2",4,"3","0","2","Case"
"115",61,"2",3,"2","0",NA,"Control"
"119",39,"3",2,"2","1","2","Control"
"120",69,"2",2,"1","0","2","Control"
"122",65,"3",2,"2","0","1","Control"
"125",64,"3",7,"0","1",NA,"Control"
"126",34,"2",4,"2","0","1","Control"
"135",53,"2",4,"2","0","1","Case"
"136",38,"3",4,"2","1",NA,"Control"
"138",63,"3",1,"2","1","1","Case"
"142",69,"3",5,"1","1",NA,"Case"
"148",64,"2",2,"3","0","2","Case"
"149",62,"2",7,"3","0","3","Control"
"154",69,"3",3,"1","1","1","Control"
"167",32,"2",4,"3","0","2","Case"
"240",36,"2",5,"3","1","3","Case"
"241",44,"3",6,"2","1","1","Case"
"242",37,"3",6,"3","1",NA,"Control"
"249",52,"3",1,"3","1","3","Case"
"251",36,"2",3,"2","0","2","Control"
"256",52,"2",4,"3","0","3","Case"
"258",37,"2",3,"2","0","3","Case"
"261",53,"2",7,"1","0","2","Control"
"264",70,"1",6,"2","1","0","Case"
"268",51,"2",4,"3","0","3","Case"
"274",68,"2",5,"3","0","2","Case"
"275",62,"3",5,"2","1",NA,"Case"
"277",48,"3",3,"3","1","2","Control"
"279",37,"1",2,"3","0","2","Case"
"281",61,"3",2,"3","1",NA,"Case"
"282",43,"2",7,"3","0","3","Case"
"286",37,"3",6,"3","1",NA,"Control"
"312",30,"1",1,"3","1","2","Control"
"314",70,"3",2,"2","1",NA,"Case"
"315",39,"3",1,"3","1","2","Case"
"316",62,"2",4,"3","0","2","Case"
"322",61,"2",6,"2","0","2","Control"
"324",53,"2",6,"2","0","3","Case"
"325",27,"1",1,"2","0","2","Case"
"328",30,"1",1,"2","0","2","Control"
"329",50,"2",5,"2","0","2","Case"
"332",25,"2",3,"3","0","2","Case"
"333",43,"2",5,"2","0","2","Control"
"334",44,"2",4,"2","1","2","Control"
"339",41,"2",6,"1","0","2","Case"
"341",43,"1",1,"3","1","2","Case"
"343",39,"2",4,"3","0","3","Control"
"359",21,"2",2,"0","0","3","Case"
"361",41,"2",5,"3","0","2","Case"
"363",40,"2",6,"2","0","3","Case"
"365",30,"2",4,"3","0","2","Case"
"366",30,"2",3,"3","0","3","Case"
"374",55,"3",1,"2","1","3","Case"
"378",68,"3",1,"3","1",NA,"Case"
"380",56,"3",3,"3","1","2","Case"
"381",43,"2",4,"3","1","2","Control"
"382",42,"2",3,"3","0","3","Case"
"385",65,"2",5,"2","1",NA,"Control"
"386",63,"2",5,"3","0","2","Case"
"388",59,"3",5,"3","1","2","Case"
"389",45,"1",3,"2","1","2","Case"
"391",70,"2",3,"3","0","2","Control"
"396",48,"3",2,"3","1","2","Case"
"398",65,"1",2,"2","0",NA,"Case"
"399",45,"2",3,"3","0","2","Case"
"400",50,"2",2,"2","0","3","Case"
"403",27,"2",2,"2","0","3","Case"
"405",40,"2",4,"2","0","2","Control"
"408",40,"2",7,"3","0","3","Case"
"410",32,"2",3,"3","0","3","Case"
"539",34,"2",4,"2","0","3","Case"
"541",25,"1",3,"2","1","1","Case"
"542",48,"2",3,"2","0","3","Case"
"543",36,"1",3,"2","1","3","Case"
"544",60,"2",5,"2","0","2","Case"
"545",50,"2",5,"1","0","2","Case"
"547",52,"2",2,"3","0","2","Case"
"548",70,"3",3,"3","1","0","Control"
"550",42,"2",4,"3","0","2","Case"
"555",41,"2",4,"2","0","1","Case"
"557",43,"2",4,"2","1",NA,"Control"
"562",35,"2",4,"2","0","2","Case"
"565",46,"3",2,"2","1","2","Control"
"570",39,"2",3,"3","1","3","Case"
"681",41,"2",4,"2","0","2","Control"
"686",43,"2",5,"1","0","2","Control"
"688",38,"2",4,"2","0","3","Control"
"689",56,"1",2,"2","1","2","Control"
"690",58,"2",2,"2","0","2","Case"
"691",58,"2",5,"2","0","2","Case"
"695",70,"2",3,"2","0","3","Control"
"702",51,"2",3,"3","0","3","Case"
"703",42,"2",4,"2","0","3","Control"
"705",64,"3",3,"2","1","2","Control"
"711",68,"2",3,"2","0","3","Control"
"713",27,"3",2,"2","1","1","Control"
"714",52,"2",7,"1","0","1","Control"
"725",30,"2",3,"2","0","3","Case"
"728",65,"3",2,"1","1",NA,"Control"
"730",28,"2",9,"2","0","2","Control"
"731",65,"2",2,"3","0","2","Control"
"772",48,"2",5,"2","0","3","Case"
"774",70,"2",3,"2","0","3","Control"
"775",45,"2",4,"3","0","3","Case"
"780",40,"2",6,"2","0","3","Case"
"781",70,"1",3,"2","1","2","Case"
"782",46,"2",2,"3","0","3","Case"
"785",55,"2",4,"3","0","2","Case"
"788",42,"3",3,"2","0","2","Case"
"792",21,"1",2,"3","1","2","Control"
"794",38,"2",5,"2","0","2","Case"
"807",31,"2",4,"2","0","2","Control"
"809",65,"2",2,"1","0","2","Case"
"812",52,"2",3,"3","1","1","Case"
"816",40,"2",3,"2","1","1","Control"
"818",39,"2",5,"2","0","2","Case"
"826",70,"2",2,"1","0",NA,"Control"
"830",46,"2",9,"2","0","2","Control"
"835",54,"3",1,"2","0","2","Control"
"842",64,"3",5,"3","1","2","Case"
"846",40,"2",6,"2","0","3","Control"
"847",33,"2",5,"3","1","0","Control"
"850",50,"2",7,"3","1","3","Control"
"851",29,"1",3,"3","0","2","Case"
"857",70,"3",2,"3","0","1","Case"
"860",65,"2",3,"3","0","2","Case"
"861",57,"3",5,"2","0","2","Control"
"863",51,"2",4,"3","0","1","Case"
"864",44,"2",5,"2","0","2","Case"
