"","year","mes","Categoria","CMAC Arequipa","CMAC Cusco","CMAC Huancayo","CMAC Piura","Mes"
"1","2020","10","Pequeñas empresas",145.26810978,340.02757021,109.25004678,45.94094711,2020-10-01
"2","2020","10","Microempresas",227.4246352,280.48250636,243.2846809,9.98682023,2020-10-01
"3","2020","11","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2020-11-01
"4","2020","11","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2020-11-01
"5","2020","12","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2020-12-01
"6","2020","12","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2020-12-01
"7","2020","9","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2020-09-01
"8","2020","9","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2020-09-01
"9","2021","1","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2021-01-01
"10","2021","1","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2021-01-01
"11","2021","2","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2021-02-01
"12","2021","2","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2021-02-01
"13","2021","3","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2021-03-01
"14","2021","3","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2021-03-01
"15","2021","4","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2021-04-01
"16","2021","4","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2021-04-01
"17","2021","5","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2021-05-01
"18","2021","5","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2021-05-01
"19","2021","6","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2021-06-01
"20","2021","6","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2021-06-01
"21","2021","7","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2021-07-01
"22","2021","7","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2021-07-01
"23","2021","8","Pequeñas empresas",147.96183945,337.45941314,142.44912583,46.01408194,2021-08-01
"24","2021","8","Microempresas",233.09376273,267.01769575,250.5536822,8.66524354,2021-08-01
