"","Concepto","CMAC Arequipa","CMAC Cusco","CMAC Huancayo","CMAC Piura","year","mes","Mes"
"1","PROVISIONES PARA CRÉDITOS DIRECTOS",8930.74824,2831.13952,4596.87674,5446.37206,2016,1,2016-01-01
"2","PROVISIONES PARA CRÉDITOS DIRECTOS",8487.89057,3002.66195,3473.39649,3875.24274,2016,2,2016-02-01
"3","PROVISIONES PARA CRÉDITOS DIRECTOS",9436.92297,2757.22456,3024.60365,4729.11006,2016,3,2016-03-01
"4","PROVISIONES PARA CRÉDITOS DIRECTOS",6860.22943,3266.54037,1992.36289,4302.57517,2016,4,2016-04-01
"5","PROVISIONES PARA CRÉDITOS DIRECTOS",9052.86096,3515.08684,2264.87696,4331.23688,2016,5,2016-05-01
"6","PROVISIONES PARA CRÉDITOS DIRECTOS",1378.98698,3465.37997,1592.77878,5773.60737,2016,6,2016-06-01
"7","PROVISIONES PARA CRÉDITOS DIRECTOS",9482.95284,3064.74913,4834.99112999999,7074.17939,2016,7,2016-07-01
"8","PROVISIONES PARA CRÉDITOS DIRECTOS",7241.62188000001,2878.80231,3023.00027,4734.87412,2016,8,2016-08-01
"9","PROVISIONES PARA CRÉDITOS DIRECTOS",6463.24152,3259.10476,3909.36694,6065.36356000001,2016,9,2016-09-01
"10","PROVISIONES PARA CRÉDITOS DIRECTOS",1923.17393999999,1556.04491,3776.96748,4838.54377,2016,10,2016-10-01
"11","PROVISIONES PARA CRÉDITOS DIRECTOS",13792.02888,2122.78828,562.077929999999,7097.23989999999,2016,11,2016-11-01
"12","PROVISIONES PARA CRÉDITOS DIRECTOS",19680.72595,4261.39114000001,4379.01597,6762.36433,2016,12,2016-12-01
"13","PROVISIONES PARA CRÉDITOS DIRECTOS",13989.04366,3681.79689,4340.02993,8566.16887,2017,1,2017-01-01
"14","PROVISIONES PARA CRÉDITOS DIRECTOS",8244.33001,3228.41566,4808.82181,6798.92324,2017,2,2017-02-01
"15","PROVISIONES PARA CRÉDITOS DIRECTOS",10389.09869,3479.9447,5777.55622,3095.76307,2017,3,2017-03-01
"16","PROVISIONES PARA CRÉDITOS DIRECTOS",12704.70734,3666.81718,6384.7085,6320.10856,2017,4,2017-04-01
"17","PROVISIONES PARA CRÉDITOS DIRECTOS",10285.58573,4901.28776,5743.47762,4383.87855999999,2017,5,2017-05-01
"18","PROVISIONES PARA CRÉDITOS DIRECTOS",12747.11491,2806.68775,3167.89284,6008.71428,2017,6,2017-06-01
"19","PROVISIONES PARA CRÉDITOS DIRECTOS",11687.2873,3056.05991,5905.33748,7366.07295,2017,7,2017-07-01
"20","PROVISIONES PARA CRÉDITOS DIRECTOS",12067.4644,3040.91086,7383.01190999999,5568.2763,2017,8,2017-08-01
"21","PROVISIONES PARA CRÉDITOS DIRECTOS",12142.33788,4009.7135,5921.63943,8350.90997000001,2017,9,2017-09-01
"22","PROVISIONES PARA CRÉDITOS DIRECTOS",9830.71979999999,3728.90922,6767.62353,8114.92515,2017,10,2017-10-01
