"","Sector Económico","year","mes","caja","morosidad_var","Mes"
"1","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,1,"CMAC Arequipa",2368187.86582,2016-01-01
"2","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,1,"CMAC Cusco",1300430.00756,2016-01-01
"3","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,1,"CMAC Huancayo",1252860.64372,2016-01-01
"4","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,1,"CMAC Piura",1935342.48028,2016-01-01
"5","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,2,"CMAC Arequipa",2370029.89012,2016-02-01
"6","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,2,"CMAC Cusco",1310087.48068,2016-02-01
"7","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,2,"CMAC Huancayo",1267670.38725,2016-02-01
"8","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,2,"CMAC Piura",1969485.49741,2016-02-01
"9","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,3,"CMAC Arequipa",2374422.46853,2016-03-01
"10","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,3,"CMAC Cusco",1321252.55852,2016-03-01
"11","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,3,"CMAC Huancayo",1289860.65692,2016-03-01
"12","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,3,"CMAC Piura",1979867.0344,2016-03-01
"13","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,4,"CMAC Arequipa",2425559.24257,2016-04-01
"14","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,4,"CMAC Cusco",1336878.94721,2016-04-01
"15","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,4,"CMAC Huancayo",1304783.85525,2016-04-01
"16","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,4,"CMAC Piura",2016078.34671,2016-04-01
"17","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,5,"CMAC Arequipa",2445587.99424,2016-05-01
"18","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,5,"CMAC Cusco",1355254.31849,2016-05-01
"19","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,5,"CMAC Huancayo",1336750.22943,2016-05-01
"20","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2016,5,"CMAC Piura",2049974.82379,2016-05-01
