"","Sector Económico","CMAC Arequipa","CMAC Cusco","CMAC Huancayo","CMAC Piura","year","mes"
"1","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2368187.86582,1300430.00756,1252860.64372,1935342.48028,2016,1
"2","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2370029.89012,1310087.48068,1267670.38725,1969485.49741,2016,2
"3","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2374422.46853,1321252.55852,1289860.65692,1979867.0344,2016,3
"4","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2425559.24257,1336878.94721,1304783.85525,2016078.34671,2016,4
"5","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2445587.99424,1355254.31849,1336750.22943,2049974.82379,2016,5
"6","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2488934.09468,1373562.6585,1370124.68608,2037149.35128,2016,6
"7","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2514175.9573,1379050.96467,1398860.10932,2063036.23307,2016,7
"8","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2535320.01055,1390457.44319,1428287.04131,2093526.36022,2016,8
"9","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2572154.83607,1409510.29958,1456468.97615,2149372.56559,2016,9
"10","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2610186.78833,1418623.962,1506057.89478,2224548.65812,2016,10
"11","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2654189.87533,1440879.12709,1581777.272,2294229.11099,2016,11
"12","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2688461.89442,1468830.1323,1658781.34123,2365063.41193,2016,12
"13","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2681275.61336,1467243.65296,1647153.4721,2389389.2926,2017,1
"14","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2705203.96524,1486521.50582,1669641.21752,2439085.15788,2017,2
"15","CREDITOS CORPORATIVOS, A GRANDES, A MEDIANAS, A PEQUEÑAS Y A MICROEMPRESAS",2731878.49609,1496214.99961,1702877.96724,2442608.67985,2017,3
