"","year","mes","Mes","caja","morosidad"
"1",2016,1,2016-01-01,"CMAC Arequipa",5.57886539619655
"2",2016,1,2016-01-01,"CMAC Cusco",4.97078399854566
"3",2016,1,2016-01-01,"CMAC Huancayo",3.58277271069511
"4",2016,1,2016-01-01,"CMAC Piura",7.70750692368958
"5",2016,2,2016-02-01,"CMAC Arequipa",5.49529384929743
"6",2016,2,2016-02-01,"CMAC Cusco",5.08506322516551
"7",2016,2,2016-02-01,"CMAC Huancayo",3.5791067846901
"8",2016,2,2016-02-01,"CMAC Piura",7.30400625413133
"9",2016,3,2016-03-01,"CMAC Arequipa",5.45015380224093
"10",2016,3,2016-03-01,"CMAC Cusco",5.30468396109407
"11",2016,3,2016-03-01,"CMAC Huancayo",3.49313599476068
"12",2016,3,2016-03-01,"CMAC Piura",7.84498276038445
"13",2016,4,2016-04-01,"CMAC Arequipa",5.54977574791358
"14",2016,4,2016-04-01,"CMAC Cusco",5.31167781554693
"15",2016,4,2016-04-01,"CMAC Huancayo",3.61565595994527
"16",2016,4,2016-04-01,"CMAC Piura",7.72165628702988
"17",2016,5,2016-05-01,"CMAC Arequipa",5.35490146616867
"18",2016,5,2016-05-01,"CMAC Cusco",5.30956999028739
"19",2016,5,2016-05-01,"CMAC Huancayo",3.6641475246774
"20",2016,5,2016-05-01,"CMAC Piura",9.04575056546224
"21",2016,6,2016-06-01,"CMAC Arequipa",5.27947804207542
"22",2016,6,2016-06-01,"CMAC Cusco",4.93162549242641
"23",2016,6,2016-06-01,"CMAC Huancayo",3.50676248728224
"24",2016,6,2016-06-01,"CMAC Piura",7.14344086923967
"25",2016,7,2016-07-01,"CMAC Arequipa",5.43490927227213
"26",2016,7,2016-07-01,"CMAC Cusco",5.40378286700064
"27",2016,7,2016-07-01,"CMAC Huancayo",3.72981879317711
"28",2016,7,2016-07-01,"CMAC Piura",7.34922301815279
"29",2016,8,2016-08-01,"CMAC Arequipa",5.31933921739627
"30",2016,8,2016-08-01,"CMAC Cusco",5.53056637699706
"31",2016,8,2016-08-01,"CMAC Huancayo",3.64850162296374
"32",2016,8,2016-08-01,"CMAC Piura",7.28365346829595
"33",2016,9,2016-09-01,"CMAC Arequipa",5.06285836597638
"34",2016,9,2016-09-01,"CMAC Cusco",5.24593178653187
"35",2016,9,2016-09-01,"CMAC Huancayo",3.5390419060754
"36",2016,9,2016-09-01,"CMAC Piura",7.02512653252307
