"","Concepto","year","mes","caja","morosidad","Mes"
"1","Créditos pequeñas empresas",2016,1,"CMAC Arequipa",8.14066996229011,2016-01-01
"2","Créditos pequeñas empresas",2016,1,"CMAC Cusco",7.07456908588568,2016-01-01
"3","Créditos pequeñas empresas",2016,1,"CMAC Huancayo",4.93956095097941,2016-01-01
"4","Créditos pequeñas empresas",2016,1,"CMAC Piura",6.74459690487441,2016-01-01
"5","PréstamosPeq",2016,1,"CMAC Arequipa",8.14066996229011,2016-01-01
"6","PréstamosPeq",2016,1,"CMAC Cusco",7.07364179600959,2016-01-01
"7","PréstamosPeq",2016,1,"CMAC Huancayo",4.90725790807519,2016-01-01
"8","PréstamosPeq",2016,1,"CMAC Piura",6.59501328698485,2016-01-01
"9","Créditos a microempresas",2016,1,"CMAC Arequipa",6.50430867601518,2016-01-01
"10","Créditos a microempresas",2016,1,"CMAC Cusco",5.62176405959192,2016-01-01
"11","Créditos a microempresas",2016,1,"CMAC Huancayo",4.71466688748673,2016-01-01
"12","Créditos a microempresas",2016,1,"CMAC Piura",3.95643494251988,2016-01-01
"13","PréstamosMicro",2016,1,"CMAC Arequipa",6.50430867601518,2016-01-01
"14","PréstamosMicro",2016,1,"CMAC Cusco",5.62176405959192,2016-01-01
"15","PréstamosMicro",2016,1,"CMAC Huancayo",4.71519683720232,2016-01-01
"16","PréstamosMicro",2016,1,"CMAC Piura",3.87024582041954,2016-01-01
"17","Créditos pequeñas empresas",2016,10,"CMAC Arequipa",7.66117768676879,2016-10-01
"18","Créditos pequeñas empresas",2016,10,"CMAC Cusco",6.69321045212583,2016-10-01
"19","Créditos pequeñas empresas",2016,10,"CMAC Huancayo",4.5526476053799,2016-10-01
"20","Créditos pequeñas empresas",2016,10,"CMAC Piura",6.28031928816812,2016-10-01
"21","PréstamosPeq",2016,10,"CMAC Arequipa",7.66117768676879,2016-10-01
"22","PréstamosPeq",2016,10,"CMAC Cusco",6.69418125080886,2016-10-01
"23","PréstamosPeq",2016,10,"CMAC Huancayo",4.52678632575409,2016-10-01
"24","PréstamosPeq",2016,10,"CMAC Piura",6.13304172291076,2016-10-01
"25","Créditos a microempresas",2016,10,"CMAC Arequipa",5.86861693060581,2016-10-01
"26","Créditos a microempresas",2016,10,"CMAC Cusco",5.86238827363518,2016-10-01
"27","Créditos a microempresas",2016,10,"CMAC Huancayo",4.59738474350231,2016-10-01
"28","Créditos a microempresas",2016,10,"CMAC Piura",4.79839842153611,2016-10-01
"29","PréstamosMicro",2016,10,"CMAC Arequipa",5.86861693060581,2016-10-01
"30","PréstamosMicro",2016,10,"CMAC Cusco",5.86385603147711,2016-10-01
"31","PréstamosMicro",2016,10,"CMAC Huancayo",4.59742554108569,2016-10-01
"32","PréstamosMicro",2016,10,"CMAC Piura",4.7260630723799,2016-10-01
"33","Créditos pequeñas empresas",2016,11,"CMAC Arequipa",7.28779778446241,2016-11-01
"34","Créditos pequeñas empresas",2016,11,"CMAC Cusco",6.42292170119588,2016-11-01
"35","Créditos pequeñas empresas",2016,11,"CMAC Huancayo",4.45948131963865,2016-11-01
"36","Créditos pequeñas empresas",2016,11,"CMAC Piura",6.42451603437214,2016-11-01
"37","PréstamosPeq",2016,11,"CMAC Arequipa",7.28779778446241,2016-11-01
"38","PréstamosPeq",2016,11,"CMAC Cusco",6.42592609696891,2016-11-01
"39","PréstamosPeq",2016,11,"CMAC Huancayo",4.43309417758505,2016-11-01
