"","Concepto","CMAC Arequipa","CMAC Cusco","CMAC Huancayo","CMAC Piura","year","mes","Mes"
"1","Créditos pequeñas empresas",8.14066996229011,7.07456908588568,4.93956095097941,6.74459690487441,2016,1,2016-01-01
"2","PréstamosPeq",8.14066996229011,7.07364179600959,4.90725790807519,6.59501328698485,2016,1,2016-01-01
"3","Créditos a microempresas",6.50430867601518,5.62176405959192,4.71466688748673,3.95643494251988,2016,1,2016-01-01
"4","PréstamosMicro",6.50430867601518,5.62176405959192,4.71519683720232,3.87024582041954,2016,1,2016-01-01
"5","Créditos pequeñas empresas",7.66117768676879,6.69321045212583,4.5526476053799,6.28031928816812,2016,10,2016-10-01
"6","PréstamosPeq",7.66117768676879,6.69418125080886,4.52678632575409,6.13304172291076,2016,10,2016-10-01
"7","Créditos a microempresas",5.86861693060581,5.86238827363518,4.59738474350231,4.79839842153611,2016,10,2016-10-01
"8","PréstamosMicro",5.86861693060581,5.86385603147711,4.59742554108569,4.7260630723799,2016,10,2016-10-01
"9","Créditos pequeñas empresas",7.28779778446241,6.42292170119588,4.45948131963865,6.42451603437214,2016,11,2016-11-01
"10","PréstamosPeq",7.28779778446241,6.42592609696891,4.43309417758505,6.28269138460457,2016,11,2016-11-01
"11","Créditos a microempresas",5.86694794961952,5.91884764051227,4.49351051572008,5.03510164039314,2016,11,2016-11-01
"12","PréstamosMicro",5.86694794961952,5.9202909923463,4.49353639044653,4.96620900537184,2016,11,2016-11-01
"13","Créditos pequeñas empresas",6.31437090507797,6.06011143141554,3.9784450359811,6.29509798876402,2016,12,2016-12-01
"14","PréstamosPeq",6.31437090507797,6.06445991027886,3.94808139476975,6.13623855958254,2016,12,2016-12-01
"15","Créditos a microempresas",5.10623529788277,5.51659555597466,3.85461813716447,5.21076553044125,2016,12,2016-12-01
"16","PréstamosMicro",5.10623529788277,5.51784733260631,3.85462865366324,5.13868793307633,2016,12,2016-12-01
"17","Créditos pequeñas empresas",7.86328806665097,7.27660432628787,4.75630976647383,6.87451710525124,2016,2,2016-02-01
"18","PréstamosPeq",7.86328806665097,7.27566920567252,4.72293051613791,6.72519152205749,2016,2,2016-02-01
"19","Créditos a microempresas",6.62493090752649,5.80077318969607,4.79277254701163,3.96225021173226,2016,2,2016-02-01
"20","PréstamosMicro",6.62493090752649,5.80077318969607,4.79329105810154,3.87877585187147,2016,2,2016-02-01
"21","Créditos pequeñas empresas",8.09939054600452,7.43571918306482,4.53537191494382,7.39653046157535,2016,3,2016-03-01
"22","PréstamosPeq",8.09939054600452,7.43542836083348,4.49715904624154,7.25901345721684,2016,3,2016-03-01
"23","Créditos a microempresas",6.23290572582541,6.01225702807337,4.72547211850408,4.28239281460797,2016,3,2016-03-01
"24","PréstamosMicro",6.23290572582541,6.01225702807337,4.72596536782099,4.20260497927689,2016,3,2016-03-01
"25","Créditos pequeñas empresas",8.17921340953078,7.50672105495581,4.6125486547065,7.55291739878912,2016,4,2016-04-01
"26","PréstamosPeq",8.17921340953078,7.50643819985244,4.57669305017487,7.42176173293232,2016,4,2016-04-01
"27","Créditos a microempresas",6.53116245034805,6.05350707573074,4.8639220959089,4.37040017856491,2016,4,2016-04-01
"28","PréstamosMicro",6.53116245034805,6.05350707573074,4.86441556560104,4.29416905980702,2016,4,2016-04-01
"29","Créditos pequeñas empresas",7.97692874256944,7.59686288703896,4.56826626151158,7.64253733125977,2016,5,2016-05-01
"30","PréstamosPeq",7.97692874256944,7.59686288703896,4.52995034700764,7.51153862666356,2016,5,2016-05-01
"31","Créditos a microempresas",6.20222979819288,6.14058443583355,4.93671074276778,4.52278162938076,2016,5,2016-05-01
"32","PréstamosMicro",6.20222979819288,6.14058443583355,4.93671074276778,4.44838393714289,2016,5,2016-05-01
"33","Créditos pequeñas empresas",8.19895285641243,6.69420306314893,4.48334306896083,5.96919958941554,2016,6,2016-06-01
"34","PréstamosPeq",8.19895285641243,6.69420306314893,4.45417316362783,5.83558745550807,2016,6,2016-06-01
"35","Créditos a microempresas",5.64107515450823,6.10349557031962,4.75684678330123,3.79550218474906,2016,6,2016-06-01
"36","PréstamosMicro",5.64107515450823,6.10349557031962,4.75684678330123,3.7213589497212,2016,6,2016-06-01
"37","Créditos pequeñas empresas",8.59017709790537,7.09827242312501,4.75185077179725,6.24996939762793,2016,7,2016-07-01
"38","PréstamosPeq",8.59017709790537,7.09827242312501,4.7245322892334,6.08702473926485,2016,7,2016-07-01
"39","Créditos a microempresas",5.44172757212078,6.2821437683867,4.86984606528215,4.09465012488675,2016,7,2016-07-01
"40","PréstamosMicro",5.44172757212078,6.2821437683867,4.86993671610431,4.01824004162508,2016,7,2016-07-01
"41","Créditos pequeñas empresas",7.93676027885563,6.84363035182491,4.65589479185736,6.2722183719221,2016,8,2016-08-01
"42","PréstamosPeq",7.93676027885563,6.84363035182491,4.62858026781147,6.11099134220748,2016,8,2016-08-01
"43","Créditos a microempresas",5.86233469966592,6.23606702225614,4.82797923939532,4.27853355669545,2016,8,2016-08-01
"44","PréstamosMicro",5.86233469966592,6.23606702225614,4.82805350300968,4.20517697305128,2016,8,2016-08-01
"45","Créditos pequeñas empresas",7.54381594160404,6.54781377288407,4.63730594414775,6.19138184059248,2016,9,2016-09-01
"46","PréstamosPeq",7.54381594160404,6.54781377288407,4.6104960725299,6.03506925020526,2016,9,2016-09-01
"47","Créditos a microempresas",5.6897410295196,5.56437701500332,4.53163166156316,4.49312732408182,2016,9,2016-09-01
"48","PréstamosMicro",5.6897410295196,5.56579044622517,4.53168737545972,4.41922026821509,2016,9,2016-09-01
"49","Créditos pequeñas empresas",6.97556673360325,6.18151652060871,4.71392548110614,6.75573262377279,2017,1,2017-01-01
"50","PréstamosPeq",6.97556673360325,6.19138394626943,4.68505968482415,6.5948214357344,2017,1,2017-01-01
"51","Créditos a microempresas",5.66965711303677,5.80359229784244,4.36441771580809,5.2149089530573,2017,1,2017-01-01
"52","PréstamosMicro",5.66965711303677,5.80484626677601,4.36441771580809,5.14134810972694,2017,1,2017-01-01
"53","Créditos pequeñas empresas",7.44295315961106,5.77348539379037,4.56310257712261,7.29942736051941,2017,10,2017-10-01
"54","PréstamosPeq",7.44295315961106,5.78154508247128,4.54885311215238,7.16412305444342,2017,10,2017-10-01
"55","Créditos a microempresas",5.65257457392143,6.03302859285195,4.61435382343104,6.82278231692282,2017,10,2017-10-01
"56","PréstamosMicro",5.65257457392143,6.03302859285195,4.61435382343104,6.75849032610235,2017,10,2017-10-01
"57","Créditos pequeñas empresas",6.99510554955241,5.65418368600591,4.53930998262495,7.26164470238972,2017,11,2017-11-01
"58","PréstamosPeq",6.99510554955241,5.66098046700349,4.52860016085499,7.12885708418909,2017,11,2017-11-01
"59","Créditos a microempresas",5.39559377288923,6.12082183276604,4.6234337981263,6.72012733513201,2017,11,2017-11-01
"60","PréstamosMicro",5.39559377288923,6.12082183276604,4.6234337981263,6.65760581402205,2017,11,2017-11-01
"61","Créditos pequeñas empresas",6.16459743353767,5.19898703572341,4.08391102597862,7.21338223255402,2017,12,2017-12-01
"62","PréstamosPeq",6.16459743353767,5.20380460244341,4.07349025446712,7.20283209039751,2017,12,2017-12-01
"63","Créditos a microempresas",4.62247760500288,5.93056307074166,4.04599451690263,6.84091943713806,2017,12,2017-12-01
