"","concepto","CMAC                      Arequipa","CMAC                      Cusco","CMAC Huancayo","CMAC                            Piura","year","mes"
"1","Ratio de Capital Global",14.55,14.17,16.23,15.33,2016,1
"2","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",20.2170294741273,16.5691091528577,24.90526475844,13.949252147328,2016,1
"3","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.27797282264507,2.58146383729176,3.86996581328376,1.68449953420927,2016,1
"4","Ratio de Capital Global",14.73,14.89,16.15,15.24,2016,2
"5","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",20.627329487399,16.3132295426694,24.6210969936535,14.5535663860285,2016,2
"6","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.31618637258337,2.52752435046156,3.82395372357347,1.77338886922646,2016,2
"7","Ratio de Capital Global",14.64,15.01,16.13,15.3,2016,3
"8","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",20.608421557999,15.9410266720279,24.5531539503806,14.631004331667,2016,3
"9","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.30966178978129,2.46698477271942,3.80046453838929,1.80563079587071,2016,3
"10","Ratio de Capital Global",14.58,14.86,16.09,15.24,2016,4
"11","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",21.3987084192716,15.685040014343,24.2774901512202,15.0878451335351,2016,4
"12","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.39270316811397,2.42421667019641,3.74558999679972,1.88001324199989,2016,4
"13","Ratio de Capital Global",14.76,14.81,15.95,15.03,2016,5
"14","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",21.8452917836396,15.5235980265248,24.2095549011912,15.1231781653398,2016,5
"15","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.44973523409345,2.40502444769824,3.7217397617475,1.90045895573604,2016,5
"16","Ratio de Capital Global",14.68,14.73,15.75,15.09,2016,6
"17","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",21.8783855731434,15.6184486493868,23.3772871244535,14.3064835604845,2016,6
"18","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.47599580482332,2.41922170639772,3.57228553085998,1.81194860123679,2016,6
"19","Ratio de Capital Global",14.6,14.76,15.62,16.35,2016,7
"20","Utilidad Neta Anualizada sobre Patrimonio Promedio (%)",22.1938702796597,15.4218017624712,21.8382951602385,13.5142327817353,2016,7
"21","Utilidad Neta Anualizada sobre Activo Promedio (%)",2.53717940147127,2.39045498578906,3.30594642149948,1.72243422126642,2016,7
"22","Ratio de Capital Global",14.61,14.95,15.49,16.35,2016,8
