"","Departamento","year","alumnosMatriculados","analfabetismo","compLectora","docentes","gastoPublico","matematica","pbiRegiones","pobTot","pobUrb","tasaConclusion","tasaDesnutricion","tasaMatricula","deaNaive","deaRobust","ciLow","ciHigh","docAlum","nivelUrb"
"1","Amazonas","2015",37.295,8.6168763808878,7.02393921840515,8361,3207.94088650845,5.96439139258851,7.39941435079908,378705.8,151954.8,37.3845928334025,22.7286632033612,77.3074098814697,0.843110935395411,0.814751122721074,0.803103944373625,0.830006697989792,12.5795,40.1247617543751
"2","Amazonas","2016",38.645,9.27421065211599,7.58347196502321,8931,3736,8.98466388834467,7.40536658927161,379044.9,154757.4,36.4803157712155,19.2623296428343,70.2581154091516,0.758684504812289,0.727817747835617,0.714871198418302,0.745601663821439,11.3529280654281,40.8282501624478
"3","Amazonas","2018",39.46,8.42415706792635,8.2931622959513,9352,4595.00532526877,8.02005376693267,8.29301343376073,379723.1,160362.6,38.4774147620209,20.3739057682035,82.7841899987082,0.910154213503167,0.888973136967665,0.881750008754606,0.899100485710178,12.4373787100976,42.231457606872
"4","Áncash","2015",83.474,9.46937294931179,10.6531113037915,17928,3025.65106406921,6.73741475953073,46.7684797323354,1079507,667444.4,43.4849204685256,18.7256181580102,88.3779407104327,0.971987539903388,0.937993007955942,0.924102859188408,0.956444859970045,10.0258,61.8286310324991
"5","Áncash","2016",83.538,8.68802987456137,10.6692970081897,18687,3342,8.97651443190821,48.8458455343584,1081513,677086.2,42.9500781397733,17.1234695666209,86.2423993663091,0.931470907843118,0.890818319162389,0.871853382443566,0.911420899885325,8.7992374120757,62.6054610531728
"6","Áncash","2018",81.78,9.56300906895458,11.8268923474743,19514,4938.95275138483,10.2043778951319,55.1128185897078,1085525,696369.8,43.6259869636181,16.3993820439228,85.0892300832543,0.94012982810505,0.91922043365088,0.91222720952366,0.930625300007805,9.33875433982149,64.1505078187974
"7","Apurímac","2015",42.921,13.8442961509862,5.17267493052298,9049,5175.25986220228,2.98622597402277,6.99572864388433,405445.2,175597.8,40.5216230161469,22.3374695816868,83.0592000630312,0.905839685558038,0.8816202925269,0.874767889244936,0.894467254387511,10.91113,43.3098727028955
"8","Apurímac","2016",43.072,16.2535589012384,5.40206287807586,9436,4960,5.1253223096234,16.870167795677,405602.1,180780.9,42.7721452063329,19.9918029923779,82.4128649548102,0.889923158732711,0.859131283505189,0.848180040687798,0.87784960710161,9.76635373693144,44.5709970436543
"9","Apurímac","2018",41.546,14.0364469649059,7.3835011123437,9738,5336.94027778682,6.55299198929397,18.9663637354951,405915.9,191147.1,41.4785909828944,20.1016892866736,86.767620337527,0.953757429630864,0.932981036395595,0.926631865274832,0.942438418941271,11.6291563459043,47.0903209260835
"10","Arequipa","2015",66.19,4.71328818886576,25.2409923562844,12546,3351.1130045292,17.9511492415866,62.5665690584665,1336644.6,1214551.8,44.3702803051217,7.5,88.850317617742,0.968997338181805,0.915005520741309,0.880744371528736,0.996574564983373,10.32711,90.8657245164497
"11","Arequipa","2016",67.48,4.38869541872144,25.4193818740467,13378,3629,22.7629433016249,78.786339107377,1359687.3,1241746.4,44.0260653295658,6.3,92.9040636113045,1,0.93088839103038,0.88575316397089,1.01287081653462,9.39168672551097,91.3258805903388
"12","Arequipa","2018",70.761,3.5465180535277,27.4687336612144,14155,4786.58278967912,25.6532228017491,83.7972887793124,1405772.7,1296135.6,43.166762078255,5.3,90.1865607757113,0.994915500565354,0.955382402519773,0.931365580640805,1.00392850601486,11.5132821534147,92.2009368939943
"13","Ayacucho","2015",59.372,11.5283858150765,7.28005803333863,13372,4547.15946234528,4.40988795384634,13.7298593324876,615438.6,344058.8,44.2831713191541,21.7295042412515,84.0289075764359,0.916415269579545,0.887558423654455,0.876713241807281,0.903510687517374,9.653065,55.9046507645117
"14","Ayacucho","2016",60.874,11.6418671623338,8.83457515580174,14086,3776,9.25623800150358,13.7713122318767,615807.3,351051.9,39.7001263868537,18.8772120860862,83.5953156755897,0.899867970957221,0.868214992566543,0.857183752490346,0.885017554721115,8.6913192432303,57.0067779319927
