"","Departamento","year","alumnosMatriculados.xlsx","analfabetismo.xlsx","compLectora.xlsx","docentes.xlsx","gastoPublico.xlsx","matematica.xlsx","pbiRegiones.xlsx","pobTot.xlsx","pobUrb.xlsx","tasaConclusion.xlsx","tasaDesnutricion.xlsx","tasaMatricula.xlsx","deaNaive","deaRobust","ciLow","ciHigh"
"1","Amazonas","2015",37.295,8.6168763808878,7.02393921840515,8361,3207.94088650845,5.96439139258851,7.3464097988465,378705.8,151954.8,37.3845928334025,22.7286632033612,77.3074098814697,0.843110935395411,0.814710132168399,0.803020917454497,0.829738919279179
"4","Áncash","2015",83.474,9.46937294931179,10.6531113037915,17928,3025.65106406921,6.73741475953073,16.2894923330743,1079507,667444.4,43.4849204685256,18.7256181580102,88.3779407104327,0.971987539903388,0.937998457818508,0.924294790346323,0.95701195906262
"7","Apurímac","2015",42.921,13.8442961509862,5.17267493052298,9049,5175.25986220228,2.98622597402277,6.48754751566919,405445.2,175597.8,40.5216230161469,22.3374695816868,83.0592000630312,0.905839685558038,0.881787405300702,0.874917051425118,0.896104983493653
"10","Arequipa","2015",66.19,4.71328818886576,25.2409923562844,12546,3351.1130045292,17.9511492415866,17.5997359357903,1336644.6,1214551.8,44.3702803051217,7.5,88.850317617742,0.968997338181805,0.917150759072851,0.884614055010121,0.988743609642111
"13","Ayacucho","2015",59.372,11.5283858150765,7.28005803333863,13372,4547.15946234528,4.40988795384634,8.3880520331354,615438.6,344058.8,44.2831713191541,21.7295042412515,84.0289075764359,0.916415269579545,0.888141665418478,0.877688842194306,0.904448026244746
"16","Cajamarca","2015",113.593,13.1233836542875,7.11908355331556,24820,3358.2780042343,6.09717130176294,7.9967718510626,1350371.4,458234.2,33.9365478290124,23.8842354262067,80.6616564323336,0.879692188749802,0.853845868475946,0.844760815183225,0.869620007560377
"19","Callao","2015",44.917,2.05176538556255,21.2204760754905,6723,2470.94644802019,11.7458104383981,20.8132481045255,970970.6,970970.6,56.6874842823492,6.47715306594751,87.3786398838967,1,0.916838449680747,0.854645733204374,1.0304872644809
"22","Cusco","2015",105.881,11.5308811103459,10.431000610699,18445,3365.25682242722,7.24691151150561,17.5788882342921,1198702.2,698584.8,40.3496905614792,16.6875316230076,88.7007297680409,0.967365940207423,0.937780731053493,0.926805697881095,0.954746114364475
"25","Huancavelica","2015",45.658,14.3456099582287,3.3539076375741,10049,4252.79456876078,3.79428360047702,8.84876768835014,369070.6,101872.2,44.2034762408579,33.9789744028034,86.2912886642384,0.941088690123353,0.914078751374041,0.905160491829633,0.930516559212594
"28","Huánuco","2015",62.567,12.7183301337169,5.90013907455116,12092,2781.67536946831,3.63278379837765,7.01372253429468,729282.2,353923.4,37.2893698881061,24.1860167682614,75.0510447247981,0.838241861314075,0.805823976316837,0.790661635628365,0.833041568616337
"31","Ica","2015",46.258,2.72516947734037,16.5252926139223,9207,2641.2617972265,11.7969354759236,18.5851892300155,822998.4,754456,47.8969558836591,6.67936532113867,88.7332715289292,1,0.946492376433433,0.914340371921021,1.00100923918606
